nombre git	nombre	name	tipo	autor	tags	ayudantes	costo	dificultad	tarda	notas de forma	notas de contenido
solv-ally-with-places	¿Cómo aliarse con lugares que convocan? 	How to ally with places that summon?	Solución	Belén	Personas	Sin ayudantes	< USD 25	Media	Días	Agregué “-”	
solv-amplify-signal-inside	¿Cómo amplificar tu señal móvil dentro de un espacio? 	How to amplify your mobile signal inside a place?	Solución	Sanjay	Señal	Sin ayudantes	USD 25 - 50	Fácil	Horas		
solv-bandwidth	¿Cómo aprovechar mi ancho de banda? 	How make better use of my bandwidth?	Solución	Manuela	Señal	2-3 ayudantes	Gratis	Media	Horas	redimensionar a 800w	
solv-bicigenerator	Bicigenerador 	Bicigenerator	Solución	Nicolás	Electricidad	2-3 ayudantes	> USD 50	Complejo	Días		
solv-build-3Gantenna	Construye una antena 3G casera 	Build a homemade 3G antenna	Solución	Nicolás	Señal	1 ayudante	< USD 25	Media	Horas	la imagen 11 sólo está en 400w, hay que redimensionarla	
solv-buy-cellphone	¿Cómo comprar un celular adecuado para mí? 	How to buy a suitable cell phone for me?	Solución	Nicolás	Dispositivos	Sin ayudantes	> USD 50	Fácil	Horas	hay algunas imágenes que hay que redimensionar dentro de esta carpeta	
solv-buy-computer	¿Cómo comprar un computador para ti? 	How to buy a computer for yourself?	Solución	Nicolás	Dispositivos	Sin ayudantes	Gratis	Fácil	Horas		
solv-buy-phone-plan	¿Cómo comprar un plan celular adecuado para mi? 	How to buy a suitable cellular plan for me?	Solución	Nicolás	Dispositivos	Sin ayudantes	> USD 50	Media	Minutos	hay algunas imágenes que hay que redimensionar a 800w	
solv-buy-satellite-antenna	¿Cómo comprar una antena satelital? 	How to buy a satellite antenna?	Solución	Nicolás	Señal	Más de 3 ayudantes	Gratis	Media	Horas	Agregué “-”	
solv-choose-satellite-internet	¿Qué Internet satelital elegir, según mis necesidades?  	Which satellite Internet to choose	Solución	Nicolás	Señal	Sin ayudantes	Gratis	Media	Horas	solv-choose-satellite-internet	redimensionar imágenes (son de 400w)
solv-community-meeting-space	Pide un Salón Comunal, o cualquier espacio comunitario 	Request a Community Room	Solución	Manuela	Espacio	2-3 ayudantes	Gratis	Fácil	Días	solv-community-meeting-space	communityspace > community-meeting-space
solv-create-poweful-message	Crea un mensaje potente 	Create a powerful message	Solución	Manuela	Personas, Espacio	1 ayudante	< USD 25	Fácil	Horas		
solv-discover-audience	Descubre a tu audiencia 	Discover your audience	Solución	Manuela	Personas	Sin ayudantes	Gratis	Media	Horas		
solv-donated-equipment	¿Cómo conseguir equipos donados? 	How to get donated equipment?	Solución	Mateo	Dispositivos, Personas	Sin ayudantes	Gratis	Media	Horas		
solv-express-invite	¡Aprende a diseñar tu invitación exprés sin ser un experto! 	Learn how to design your express invitation without being an expert!	Solución	Manuela	Personas	1 ayudante	Gratis	Fácil	Horas	casi todas las imágenes de esta carpeta están en 400w, hay que redimensionarlas	
solv-financial-support-connect	¿Tu comunidad necesita apoyo económico para conectarse a Internet?  	Does your community need financial support to connect to the Internet? 	Solución	Belén	Dispositivos, Personas, Señal	2-3 ayudantes	USD 25 - 50	Media	Días		
solv-find-wifi-app	Buscar señales de WiFi a tu alrededor con una aplicación móvil 	Search for WiFi signals around you with a mobile app	Solución	Sanjay	Señal	Sin ayudantes	Gratis	Media	Minutos	hay imágenes por redimensionar a 800w	
