nombre git	fm_title	fm_lang	fm_slug	fm_fecha	fm_aspectos	body_created	body_autor	body_solucionas	body_dificultad	body_cuesta	body_ayudantes	body_tardas	body_extras
solv-ally-with-places	¿Cómo aliarse con lugares que convocan?	es	como-aliarse-con-lugares-que-convocan-solutions-db	2025-2-24	personas, espacio	24 de febrero de 2025 7:43	Belén	Espacio, Personas	Tranqui	>$ 100 COP	Nadie	Días	2025-prueba=No
solv-amplify-signal-inside	¿Cómo amplificar tu señal móvil dentro de un espacio?	es	como-amplificar-tu-senal-movil-dentro-de-un-espacio-solutions-db	2024-10-25	señal, dispositivos, espacio	25 de octubre de 2024 13:36	Sanjay	Señal	Fácil	$100-200 COP	Nadie	Horas	2025-prueba=No; impacto/personas=3; pilar/dispositivos=0: No aporta a equipos; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dificultad=0: No necesita habilidades nuevas solo seguir instrucciones (reiniciar un módem); recursos/dinero=2: $ 100-200  COP
solv-bandwidth	¿Cómo aprovechar mi ancho de banda?	es	como-aprovechar-mi-ancho-de-banda-solutions-db	2024-11-7	señal, electricidad, dispositivos, espacio	7 de noviembre de 2024 11:31	Manuela	Señal	Tranqui	Gratis	2-3 personas	Horas	2025-prueba=No; impacto/personas=4; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dinero=0: Sin dinero; recursos/personas=1: Una persona; recursos/tiempo=1: Horas
solv-bicigenerator	Bicigenerador	es	bicigenerador-solutions-db	2025-02-24	señal, electricidad, dispositivos, personas, espacio	24 de febrero de 2025 7:27	Nicolás	Electricidad	Difícil	>$200 COP	2-3 personas	Días	2025-prueba=No; impacto/personas=10; impacto/sostenibilidad=3: Alto; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=Electricidad intermitente (Panel solar pelton); pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=1: Aporta a que haya una comunidad esporádica que se reune periódicamente (Entre 6  a 12 personas); pilar/senal=0: No aporta señal; recursos/dinero=4: Gasto mensual; recursos/personas=2: Entre 2 y 3 personas; recursos/tiempo=3: Semanas
solv-build-3Gantenna	Construye una antena 3G casera	es	construye-una-antena-3g-casera-solutions-db	2024-10-25	señal	25 de octubre de 2024 13:36	Nicolás	Señal	Promedio	>$ 100 COP	Una persona	Horas	2025-prueba=No
solv-buy-cellphone	¿Cómo comprar un celular adecuado para mí?	es	como-comprar-un-celular-adecuado-para-mi-solutions-db	2024-10-25	señal, electricidad, dispositivos, espacio	25 de octubre de 2024 13:36	Nicolás	Dispositivos	Fácil	>\$200 COP	Nadie	Horas	2025-prueba=No; impacto/personas=1; impacto/sostenibilidad=1: Bajo; pilar/dispositivos=1: Aporta para tener dispositivos unipersonales (Celulares); pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=0: No aporta señal; recursos/dinero=3: \$ 200 COP >; recursos/personas=0: Nadie; recursos/tiempo=1: Horas
solv-buy-computer	¿Cómo comprar un computador para ti?	es	como-comprar-un-computador-para-ti-solutions-db	2024-3-21	señal, dispositivos, espacio	21 de marzo de 2024 10:55	Nicolás	Dispositivos	Fácil	Gratis	Nadie	Horas	2025-prueba=No; impacto/personas=3; impacto/sostenibilidad=1: Bajo; pilar/dispositivos=2: Aporta a que haya algunos dispositivos para compartir con ciertas restricciones (Uso con restricción de tiempo o de uso); pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=0: No aporta señal; recursos/dificultad=1: Necesitas habilidades nuevas en un lenguaje que ya maneja (comprar un plan de internet); recursos/dinero=3: $ 200 COP >; recursos/tiempo=0: Minutos
solv-buy-phone-plan	¿Cómo comprar un plan celular adecuado para mi?	es	como-comprar-un-plan-celular-adecuado-para-mi-solutions-db	2024-10-25	señal, electricidad, dispositivos, espacio	25 de octubre de 2024 13:36	Nicolás	Señal	Tranqui	>$200 COP	Nadie	Minutos	2025-prueba=No; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=1: Aporta para tener dispositivos unipersonales (Celulares); pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dinero=0: Sin dinero; recursos/personas=1: Una persona; recursos/tiempo=0: Minutos
solv-buy-satellite-antenna	¿Cómo comprar una antena satelital?	es	como-comprar-una-antena-satelital-solutions-db	2024-02-29	señal, dispositivos, espacio	29 de febrero de 2024 14:57	Nicolás	Señal, Signal	Promedio	Gratis	Más de 3 personas	Horas	2025-prueba=No; impacto/personas=100; impacto/sostenibilidad=1: Bajo; pilar/dispositivos=0: No aporta a equipos; pilar/espacio=1: Aporta a que haya un espacio o espacios de uso temporal no necesariamente públicos; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dificultad=0: No necesita habilidades nuevas solo seguir instrucciones (reiniciar un módem); recursos/dinero=1: > $ 100.COP; recursos/tiempo=0: Minutos
solv-choose-satellite-internet	¿Qué Internet satelital elegir, según mis necesidades?	es	que-internet-satelital-elegir-segun-mis-necesidades-solutions-db	2025-10-25	señal	25 de octubre de 2024 13:36	Nicolás	Señal	Promedio	Gratis	Nadie	Horas	2025-prueba=No
